test;variables_used;mse;r_squared;aic
3609;x1, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6, x6_squared;23.260485463380196;0.9600389141108376;6002.633084450603
2898;x1, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared;23.30716454689626;0.9599587203045412;6002.6378709983455
2901;x1, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6;23.308514271622574;0.9599564015023047;6002.695779614542
2644;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x6_squared;23.309710156664092;0.959954346993815;6002.74708508816
4017;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;23.171493818853378;0.9601918001181377;6002.799874888184
4086;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6, x6_squared;23.12681957593769;0.9602685496451842;6002.870031077255
4058;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6, x6_squared;23.17451841028284;0.960186603925733;6002.930397075026
4020;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6;23.17573529925597;0.9601845133328755;6002.982905481173
1671;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared;23.36296840309639;0.9598628503067258;6003.029288346761
2842;x1, x2, x3, x3_squared, x4_squared, x5, x5_squared;23.317252495671738;0.9599413893942256;6003.07060344082
3579;x1, x2, x3, x3_squared, x4_squared, x5, x5_squared, x6_squared;23.270749735871664;0.9600212802796235;6003.074262193424
2845;x1, x2, x3, x3_squared, x4_squared, x5_squared, x6;23.317951620950968;0.9599401883098642;6003.100586167069
3954;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;23.22563156224343;0.9600987924714631;6003.133543946986
3596;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared;23.272349124410724;0.960018532559552;6003.142989398051
3581;x1, x2, x3, x3_squared, x4_squared, x5_squared, x6, x6_squared;23.272558979699806;0.960018172032028;6003.152006723367
3891;x1, x1_squared, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6;23.22877460112689;0.9600933927885127;6003.26886109547
3599;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6;23.275653549969835;0.9600128556172633;6003.2849686613845
3956;x1, x2_squared, x3, x3_squared, x4, x4_squared, x5_squared, x6, x6_squared;23.23032221234351;0.9600907340209281;6003.335483622524
4050;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5, x5_squared, x6, x6_squared;23.1840605556753;0.9601702106955833;6003.34206394403
3928;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6_squared;23.232854718696423;0.9600863832216276;6003.444494952471
2574;x1, x1_squared, x2, x3, x3_squared, x4_squared, x6_squared;23.327051861029926;0.9599245542649092;6003.490777592306
3522;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared;23.280818008858652;0.9600039831719505;6003.506826492834
3930;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6, x6_squared;23.235064746336153;0.9600825864348208;6003.5396155288545
3525;x1, x2, x2_squared, x3, x3_squared, x4_squared, x5_squared, x6;23.281910274062362;0.9600021066804348;6003.553742352115
3863;x1, x1_squared, x2, x3, x3_squared, x4_squared, x5, x5_squared, x6;23.235611720604197;0.960081646743096;6003.563156148861
3431;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x6_squared;23.282801334911827;0.9600005758542965;6003.5920142889
3568;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared;23.283576746306792;0.9599992437117923;6003.625317776394
1615;x1, x1_squared, x2, x3, x3_squared, x4_squared;23.377573369841453;0.9598377592426796;6003.654226212966
3946;x1, x2, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6_squared;23.239401763189605;0.9600751355196945;6003.726256374539
3310;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x6_squared;23.286073721587567;0.9599949539542197;6003.732553938061
4092;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6, x6_squared;23.147053434984482;0.9602337882477701;6003.744557414464
3571;x1, x2, x3, x3_squared, x4, x4_squared, x5_squared, x6;23.286438875652095;0.959994326626258;6003.748235035951
2636;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared;23.33322510742506;0.9599139487412284;6003.7553815266265
4088;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared, x5, x5_squared, x6, x6_squared;23.147721342345097;0.9602326407952181;6003.773411960743
3948;x1, x2, x3, x3_squared, x4, x4_squared, x5_squared, x6, x6_squared;23.243613691422247;0.9600678995045164;6003.907480772439
2511;x1, x1_squared, x2, x2_squared, x3, x3_squared, x4_squared;23.338167147256186;0.9599054584077626;6003.967161789045
4053;x1, x1_squared, x2_squared, x3, x3_squared, x4, x4_squared, x5, x5_squared, x6;23.198787336127502;0.9601449103578303;6003.977073720982
